id,Цена,Число комнат,Тип жилья,Общая площадь,Адресс,Название ЖК,Описание,Ссылка,Год постройки,Этаж квартиры,Этажей в доме,Высота потолков,Санузел,Вид из окон,Ремонт,Строительная серия,Количество лифтов,Тип перекрытий,Парковка,Подъезды,Отопление,Аварийность,Цена за метр,Условия сделки,Ипотека,Жилая площадь,Площадь кухни,Балкон/лоджия,Тип дома,Газоснабжение,Мусоропровод,Год сдачи,Отделка,Дом
289078445,29 650 000,2,Вторичка,68,"Москва, СЗАО, р-н Хорошево-Мневники, Шелепихинская наб., 34к6",,"Продаю 2 ком  квартиру 68м²  - в ЖК Бизнес класса СЕРДЦЕ СТОЛИЦЫ  от ПРЕМИАЛЬНОГО застройщика ДОНСТРОЙ .

Адрес расположения: Наб. Шелепихинская, д.34, к.6 (здание 10)

- с 5 этажа открывается ИЗУМИТЕЛЬНЫЙ вид  в сторону Москва СИТИ и в благоустроенный двор.

**Продажа по Договору Купли Продажи **

ДОМ ПОСТРОЕН -Ключи на руках!!!  
До станции метро и МЦК Шелепиха 900м   12 минут пешком.

До НОВОЙ станции ПРЕСНЯ (открытие 2023г) всего 100м (1 минута пешком)

- Высокие потолки 3,2 м
- Большие крупноформатные окна от компании Rehau  высота окна 2,4 м. 
- Быстрые и бесшумные финские лифты КОNE на прямую из паркинга доставят вас к вашей квартире.
- Подземная двух уровневая парковка с Автомойкой  Теплая и Светлая  (машиноместа и кладовые помещения для хранения сезонных вещей можно приобрести отдельно).
- Огороженная охраняемая территория с видеонаблюдением.
- Консьержи в каждом доме 24/7. 
- Роскошное лобби с зоной ресепшн и Консьерж сервисом 24/7 в каждом доме.
- Гостевые санузлы и лапомойки для ваших питомцев на 1этаже лобби.

СРЕДА вашего бедующего ПРОЖИВАНИЯ  это уже СОСТОЯВШИЙСЯ  жилой комплекс с прекрасной территорией. 
Современные, активные и прогрессивные соседи (возможно ваши бедующие партнеры по бизнесу, или просто ПРИЯТНЫЕ люди, которые составят вам компанию в Ваших увлечениях, например, на утренних пробежках, велопрогулках или занятиях спортом!)

Надежная Управляющая компания СМАРТ СЕРВИС -  обслуживание 90 руб/м² (все включено - кроме счётчиков)

Комплекс уникален своей концепцией Город в Городе.
Самый большой двор без машин в Москве - представлен ландшафтным парком площадью 6,5 га.  Безопасность Вас и Ваших детей обеспечивается огороженной территорией с круглосуточной охраной и видеонаблюдением.

Развитая инфраструктура двора - это 10 современных детских площадок.
* Work Out площадка для любителей турников и тренажеров, 
* Футбольное зеленое поле,
* Теннисный корт и волейбольная площадки под открытым небом, 
* Настоящий Фонтан, во дворе 
* Огороженная просторная площадка для выгула и дрессировки собак т.д.

Вдоль Москва реки благоустроена 500 метровая .
Там же расположены: Арт объект в виде огромного шара Луны, Баскетбольная площадка, променад, шезлонги, качели, теннисные столы, смотровые площадки, 
Большая Скейт Роллерная площадка - излюбленное место детей. 

Для КОМФОРТНОЙ жизни уже функционирует  вся ИНФРАСТРУКТУРА:
- Фитнес центр ИксФит Премиум класса - 4500 м.кв + ДВА Бассейна (взрослый 25м -5 дорожек и детский 10м)

- Бесплатный муниципальный ДЕТСКИЙ САД и ШКОЛ
*** Рестораны: Грузинской кухни СУЛУГУНИ//Семейное Кафе  Сербской кухни  BubaMara//Ресторан фермерский М2-ОРГАНИК//Ресторан Европейской кухни ТОКИО РИМ//Семейный ресторан RIBAMBELLE//ВКУСВИЛЛ магазин здорового питания//Супермаркет Перекресток//Автомойки в зданиях  1,7,8//Кофейня ЗЕРНО//Частный детский сад Yoko//Стоматология УЛЫБНИСЬ//ТЦ THE DOM - центр модных интерьеров  уже открылся//Аптека//Химчистка//Салоны красоты/",https://www.cian.ru/sale/flat/289078445/,2022.0,5,43,"3,2",2 совмещенных,Во двор,Без ремонта,Индивидуальный проект,"4 пассажирских, 2 грузовых",Нет информации,Подземная,1.0,Нет информации,Нет,436 029 ₽/м²,свободная продажа,возможна,,,,,,,,,
289080161,40 500 000,3,Вторичка,129,"Москва, САО, р-н Войковский, Старопетровский проезд, 12к4",,"Арт. 46427900 Продается 3х комнатная квартира( состоит из 1 и 2х комнатной квартиры), площадью 129м2, состояние хорошее, просторная кухня, гардеробная. 3 лоджии. Планировка распашонка. 
Чистый подъезд, ТСЖ. Замечательные соседи. 
1 взрослый собственник, оперативный показ. Поможем с одобрением! 
Район содержит много зелени. Парковка стихийная во дворе. Все что нужно для комфорта в шаговой доступности.",https://www.cian.ru/sale/flat/289080161/,2008.0,10,16,,2 раздельных,На улицу и двор,Евроремонт,Индивидуальный проект,"1 пассажирский, 1 грузовой",Железобетонные,,3.0,Центральное,Нет,313 953 ₽/м²,свободная продажа,возможна,57.0,15.0,2 лоджии,Монолитный,Центральное,,,,
289078702,20 500 000,3,Вторичка,"84,6","Москва, ЮЗАО, р-н Ясенево, Тарусская ул., 22К1",,"Дом индивидуального проекта. Высокий этаж. В подъезде проводят ремонт. Заменены лифты. 
Подъезд с консьержем.

Квартира в жилом состоянии, но ремонт делали очень давно. Оцениваем состояние под ремонт. Отличные видовые характеристики. Удачная планировка с возможностью перепланировать пространство индивидуально. 

Перепланировок нет в настоящий момент, все согласно плану БТИ. 

1 взрослый собственник, обременений нет. Более 15 лет в собственности. 

Прекрасно развита инфраструктура: магазины, поликлиники, школы, детские и спортивные площадки. Близость метро и парка.",https://www.cian.ru/sale/flat/289078702/,1986.0,20,22,"2,64",1 раздельный,На улицу и двор,Косметический,И-700А,"2 пассажирских, 2 грузовых",Железобетонные,Наземная,1.0,Центральное,Нет,242 317 ₽/м²,свободная продажа,возможна,"44,7",11.0,2 лоджии,Блочный,,Да,,,
289079939,57 000 000,3,Вторичка,134,"Москва, ЮЗАО, р-н Обручевский, ул. Воронцовские Пруды, 3",ЖК «Воронцово»,"Просторная, видовая квартира в ЖК Воронцово, на территории дома фитнес центр с бассейном и СПА, охраняемая территория, подземная и наземная автостоянка, охрана в подъезде, 3 минуты пешком до Воронцовского парка. Свободная продажа. Перепланировка согласована. В собственности с 2007 года. Два собственника.",https://www.cian.ru/sale/flat/289079939/,2004.0,24,31,"3,2","1 совмещенный, 1 раздельный",На улицу,Евроремонт,Индивидуальный проект,"2 пассажирских, 2 грузовых",Железобетонные,Подземная,10.0,Индивидуальный тепловой пункт,Нет,425 373 ₽/м²,свободная продажа,возможна,"80,6",40.0,1 лоджия,Монолитно-кирпичный,,Да,,,
289078991,39 000 000,2,Вторичка,60,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39к8",ЖК «Headliner (Хедлайнер)»,"Лучшая локация в своей ценовой категории! Идеальная квартира, для самых смелых дизайнерских решений!",https://www.cian.ru/sale/flat/289078991/,2023.0,3,53,,"1 совмещенный, 1 раздельный",Во двор,Косметический,Индивидуальный проект,,Железобетонные,,11.0,Индивидуальный тепловой пункт,Нет,650 000 ₽/м²,свободная продажа,возможна,"21,1",21.0,,Монолитный,,,,,
289079916,29 000 000,2,Вторичка,65,"Москва, САО, р-н Беговой, 1-й Боткинский проезд, 6",,"Код объекта: 767882.
Уникальное предложение в престижном районе в кирпичном доме 1952 года постройки, комнаты изолированные 22,6-20,5, эркер, окна квартиры выходят во двор и на улицу, высота потолка 3,2 м, раздельный санузел, свободная продажа",https://www.cian.ru/sale/flat/289079916/,1952.0,7,10,"3,2",1 раздельный,На улицу и двор,Без ремонта,Индивидуальный проект,"1 пассажирский, 1 грузовой",Железобетонные,Наземная,6.0,Центральное,Нет,446 154 ₽/м²,свободная продажа,возможна,"43,1",7.0,1 балкон,Кирпичный,,,,,
289080077,12 490 000,1,Вторичка Апартаменты,"34,2","Москва, САО, р-н Войковский, Выборгская ул., 9/1",ЖК «Невский»,"Id 37313. ЖК бизнес класса Невский!
Апартаменты продаются полностью укомплектованные мебелью. Потрясающий вид с панорамными окнами.
Закрытая охраняемая территория, подземный паркинг, красивый ландшафт во дворе с круглогодичными растениями, теннисные корты, много детских и спортивных площадок, дизайнерская отделка входных групп в морской тематике.
Район старой Москвы с развитой инфраструктурой, большим количеством школ, детских садов, парков, тц Водный и Метрополис в шаговой доступности, яхт-клуб.
В пешей доступности 4 парка: Дружба, Покровское -Стрешнево, Головинские пруды, новый Парк Северного речного вокзала.
В шаговой доступности от метро Водный стадион, МЦК Балтийская.
Один собственник.

Звоните, чтобы записаться на просмотр",https://www.cian.ru/sale/flat/289080077/,2019.0,2,21,"3,1",1 совмещенный,,Дизайнерский,,"2 пассажирских, 1 грузовой",Нет информации,Подземная,,Нет информации,Нет,365 205 ₽/м²,свободная продажа,возможна,"19,2",10.0,,Монолитный,,,,,
289078292,8 950 000,1,Новостройка,"41,1","Москва, НАО (Новомосковский), Десеновское поселение, Новые Ватутинки центральный микрорайон",ЖК «Новые Ватутинки. Микрорайон Центральный»,"Вашему вниманию предлагается квартира с чистовой отделкой в мкр. Центральный ЖК Новые Ватутинки по переуступки от физического лица. Квартира с одной из самых удачных планировок в микрорайоне с видом на лес и пруд!!! 
  ЖК расположен в 15 минутах от МКАД по Калужскому шоссе. В 2025 году планируется открытие станции метро Ватутинки. 
Доехать до района можно от станций метро Ольховая, Теплый Стан, и Бульвар Адмирала Ушакова на городских автобусах и маршрутных такси. 
Район с устойчивой, развитой инфраструктурой: в пешей доступности школы, сады, поликлиники, магазины, салоны красоты и тд. Все необходимое для комфортной жизни-не выходя из жилого комплекса. Новые Ватутинки расположены в окружении лесов, водоемов, парка на реке. 
Район расположен в окружении природы, рядом с лесом и рекой Десна. На территории района есть 4 детских сада и 2 школы с углубленным изучением иностранных языков, естественных наук и математики, поликлиника, прием в которой осуществляют детское и взрослое отделения. В районе работают множество магазинов, включая 3 сетевых супермаркета. Открыты салоны красоты, аптеки, кафе, центр госуслуг ""Мои Документы"" и прочие предприятия бытовых услуг.В 20 минутах езды расположен торгово-развлекательный комплекс ""МЕГА"" с гипермаркетами Ашан, OBI, многозальным кинотеатром и множеством магазинов.",https://www.cian.ru/sale/flat/289078292/,,10,14,,1 совмещенный,На улицу,,,,,,,,,217 762 ₽/м²,переуступка,возможна,"16,2","13,5",1 лоджия,Монолитный,,,2024.0,Чистовая,
289079591,35 299 000,2,Новостройка,"70,1","Москва, САО, р-н Войковский, Старопетровский проезд, 8",ЖК «Балтийский»,"ЖК Балтийский, евро3-комнатная квартира, кухня-гостиная 19.3, комнаты 17.5 (кабинет/детская) и 14.8 (спальня), новый дизайнерский ремонт, никто не жил, мебель на заказ, вся техника Bosch (в т.ч. духовой шкаф с СВЧ и стиральная машина с сушкой), кондиционеры Toshiba, парящие потолки с боковой подсветкой во всех помещениях, утепленная лоджия с заменой остекления, теплые полы, 2 с/у, высота потолка 2,90. Свободная продажа, полная стоимость в договоре, без обременений, покупалась по ДДУ за наличные, никто не зарегистрирован. Звоните, уважаемые клиенты и коллеги!",https://www.cian.ru/sale/flat/289079591/,,8,17,,2 совмещенных,Во двор,,,,,,,,,503 552 ₽/м²,свободная продажа,возможна,"32,3","19,3",1 лоджия,Монолитный,,,2021.0,Чистовая,Сдан
289079453,8 000 000,1,Вторичка,"42,3","Москва, ЮАО, р-н Бирюлево Восточное, Касимовская ул., 3",,"Продается однокомнатная квартира с большой лоджией. Общая площадь с застекленной лоджией 42,3 кв.м. Комната 19.5 кв.м., кухня 10 кв.м., лоджия 6,9 кв.м., санузел совмещенный, плита газ. Квартира находится на 10 этаже 14 этажного блочного дома, высота потолков 2,5 м. В доме проведен капремонт с заменой всех коммуникаций, с обновлением фасада. Квартира требует, как минимум, косметического ремонта. Правоустанавливающие документы наследство по завещанию 2015 года. Полная стоимость в ДКП. Свободная продажа. Возможна ипотека. Быстрый выход на сделку. Показ по предварительной договоренности. На 2025 год запланировано открытие двух станций метро в пешей доступности. РИЭЛТОРОВ БЕЗ РЕАЛЬНОГО ПОКУПАТЕЛЯ ПРОШУ НЕ ЗВОНИТЬ, СВОИ УСЛУГИ ПО ПРОДАЖЕ НЕ ПРЕДЛАГАТЬ.",https://www.cian.ru/sale/flat/289079453/,1972.0,10,14,"2,5",1 совмещенный,,Без ремонта,И-209А,2 пассажирских,Железобетонные,,1.0,Центральное,Нет,189 125 ₽/м²,свободная продажа,возможна,"19,7",10,1 лоджия,Блочный,,Да,,,
